Date,Open,High,Low,Close,Adj Close,Volume,Target,Moving_Average_3,Moving_Average_7,Today_Direction,Price_Range
1997-05-15,2.4375,2.5,1.927083,1.958333,1.958333,72156000,0,-0.4791669999999999,-0.4791669999999999,-0.4791669999999999,0.5729169999999999
1997-05-16,1.96875,1.979167,1.708333,1.729167,1.729167,14700000,0,-0.359375,-0.359375,-0.2395830000000001,0.2708339999999998
1997-05-19,1.760417,1.770833,1.625,1.708333,1.708333,6106800,0,-0.2569446666666666,-0.2569446666666666,-0.0520839999999998,0.1458330000000001
1997-05-20,1.729167,1.75,1.635417,1.635417,1.635417,5467200,0,-0.1284723333333333,-0.21614599999999995,-0.09375,0.1145830000000001
1997-05-21,1.635417,1.645833,1.375,1.427083,1.427083,18853200,0,-0.11805599999999987,-0.21458359999999993,-0.2083339999999998,0.2708330000000001
1997-05-22,1.4375,1.447917,1.3125,1.395833,1.395833,11776800,1,-0.11458366666666657,-0.1857641666666666,-0.0416669999999999,0.1354169999999999
1997-05-23,1.40625,1.520833,1.333333,1.5,1.5,15937200,1,-0.05208366666666656,-0.14583357142857137,0.09375,0.1875
1997-05-27,1.510417,1.645833,1.458333,1.583333,1.583333,8697600,0,0.04166633333333344,-0.06696457142857135,0.0729160000000002,0.1875
1997-05-28,1.625,1.635417,1.53125,1.53125,1.53125,4574400,0,0.0243053333333334,-0.04613128571428561,-0.09375,0.1041669999999999
1997-05-29,1.541667,1.541667,1.479167,1.505208,1.505208,3472800,0,-0.01909766666666653,-0.043899142857142755,-0.0364589999999998,0.0625
1997-05-30,1.5,1.510417,1.479167,1.5,1.5,2594400,0,-0.043402999999999935,-0.030506285714285614,0.0,0.03125
1997-06-02,1.510417,1.53125,1.5,1.510417,1.510417,591600,0,-0.012152999999999933,-0.0007442857142856418,0.0,0.03125
1997-06-03,1.53125,1.53125,1.479167,1.479167,1.479167,1183200,0,-0.017361000000000033,-0.0022322857142856706,-0.0520830000000001,0.0520830000000001
1997-06-04,1.479167,1.489583,1.395833,1.416667,1.416667,3080400,1,-0.038194333333333365,-0.02455371428571424,-0.0625,0.09375
1997-06-05,1.416667,1.541667,1.375,1.541667,1.541667,5672400,1,0.0034723333333332995,-0.017113142857142844,0.125,0.1666669999999999
1997-06-06,1.515625,1.708333,1.510417,1.65625,1.65625,7807200,1,0.06770833333333333,0.016369000000000015,0.140625,0.1979160000000002
1997-06-09,1.65625,1.708333,1.65625,1.6875,1.6875,2352000,0,0.09895833333333333,0.026041714285714272,0.03125,0.0520830000000001
1997-06-10,1.708333,1.708333,1.53125,1.583333,1.583333,5458800,0,0.015625,0.008184571428571414,-0.125,0.1770830000000001
1997-06-11,1.59375,1.604167,1.53125,1.541667,1.541667,1188000,1,-0.048611000000000036,0.0007441428571428281,-0.0520830000000001,0.0729169999999999
1997-06-12,1.583333,1.645833,1.552083,1.604167,1.604167,1632000,0,-0.0520830000000001,0.0111608571428571,0.020833999999999797,0.09375
1997-06-13,1.625,1.625,1.583333,1.583333,1.583333,693600,0,-0.0243053333333334,0.01413699999999997,-0.0416669999999999,0.0416669999999999
